"Story","Title","Result","Date","Stability","Duration (s)"
"Eliminar producto","Eliminar producto del carrito","SUCCESS","2022-07-12T14:38:42.9445005-05:00[America/Bogota]","0.0","10.94"
"Ordenar producto","Ordernar productos de mayor a menor precio","SUCCESS","2022-07-12T14:39:04.4451523-05:00[America/Bogota]","0.0","4.19"
